NAMC_ID,NAMC_CODE,NAMC_term,NAMC _term_diacritical,  NAMC _term_DEVANAGARI,short_definition,long_definition,ontology_branches
966,ED-8.5.5,DVIDOSHAJA-VATARAKTAM,dvidōṣaja-vātaraktam,द्विदोषज-वातरक्तम्,vātarakta due to two dōṣa , ,
967,ED-8.5.6,TRIDOSHAJAVATARAKTAM,tridōṣajavātaraktam,त्रिदोषजवातरक्तम्,vātarakta due to three dōṣa , ,
968,ED-8.6,KRUCCRASADHYA-VATARAKTAM,kr̥cchrasādhya-vātaraktam,कृच्छ्रसाध्य-वातरक्तम्,difficult to manage vātarakta , ,
969,ED-8.7,ASADHYA-VATARAKTAM,asādhya-vātaraktam,असाध्य-वातरक्तम्,intractable vātarakta ,"the disorder is characterized by asvapnaḥ [insomnia/sleeplessness], arōcakaḥ [tastelessness], śvāsaḥ [breathlessness/difficult breathing], māṁsakōthaḥ [suppuration of māṁsa], śirōgrahaḥ [stiffness of head], mūrcchā [syncope/attacks of swooning], madaḥ [intoxication], rujā [pain], tr̥̄ṣṇā [thirst], jvaraḥ [fever], mōhaḥ [semiconsciousness or stupefaction], vēpanam [shivering/tremors], hikkā [hiccup], pāṅgulyam [limping of both legs in paraplegia], visarpaḥ [spreading cellulitis/erysipelas], pākaḥ [inflammation/suppuration], tōdaḥ [pricking pain], bhramaḥ [giddiness or dizziness], klamaḥ [exhaustion without exertion], aṅgulīvakratā [deformity of fingers], sphōṭaḥ [blister], dāhaḥ [burning sensation], marmagrahaḥ [afflicted with marma site], arbudaḥ [tumor], mōhaḥ [confusion/delirium], saṁprasrāvī [oozing of discharges], vivarṇam [discolouration], stabdham [stiffness], arbudakr̥t [leading to tumour] ",
970,ED-8.8,VATARAKTA-UPADRAVAH,vātarakta-upadravaḥ,वातरक्त-उपद्रवः,complications of vātarakta , ,
971,ED-8.9,VATARAKTA-ARISHTAH,vātarakta-ariṣṭaḥ,वातरक्त-अरिष्टः,fatal sign of vātarakta , ,
972,ED-9,VIDRADHIH,vidradhiḥ,विद्रधिः,abscess ,"the disorder is characterized by gambhīrasthaḥ/mahāmūlaḥ sudāruṇaḥ granthiḥ [deep seated fatal swelling], hr̥dyē tīvravēdanā [severe pain in cardiac region], klōmni tīvravēdanā [severe pain in klōma], yakr̥ti tīvravēdanā [severe pain in liver region], plīhni tīvravēdanā [severe pain in splenic region], kukṣau tīvravēdanā [severe pain in flanks], vr̥kkayōḥ tīvravēdanā [severe pain in renal region], nābhyāṁ tīvravēdanā [severe pain in navel region], vaṅkṣaṇē tīvravēdanā [severe pain in groins], bastau tīvravēdanā [severe pain in basti/urinary bladder region], śīghravidāhaḥ [sudden onset of suppuration], śōpham [odema], vr̥ttaśōpham [rounded swelling], āyataśōpham [lengthened swelling] ",Note: Also Classifed under śōṇitajanyarōgaḥ[ED-2]
973,ED-9.1,VATAJAVIDRADHIH,vātajavidradhiḥ,वातजविद्रधिः,vidradhī due to vāta ,"the disorder is characterized by kr̥ṣṇa-varṇaḥ (śōphaḥ) [black swelling], aruṇa-varṇaśōphaḥ [slightly red coloured swelling], paruṣaśōphaḥ [rough oedema], bhr̥śamatyarthavēdanaḥ [excessively severe pain], citrōtthānaprapākaḥ/cirōtthānapākaḥ [varied types of onset and suppuration], tanusrāvaḥ [thin watery discharge], rūkṣasrāvaḥ [less unctuous discharge], aruṇasrāvaḥ [slightly reddish coloured discharge], śyāvavarṇasrāvaḥ [blackish coloured discharge], phēnilasrāvaḥ [frothy discharge], vyadhaḥ [penetrating type of pain], chēdaḥ [cutting type of pain], bhramaḥ [giddiness or dizziness], ānāhaḥ [barborygmus with distention], śabdaḥ/śabdavān [sound from swelling], sphuraṇam/spandaḥ [pulsating sensation], sarpaṇam [spreading nature of swelling], śyāvavarṇaśōphaḥ [blackish discoloration of swelling], viṣamasaṁsthitiḥ [irregular appearance] ",
974,ED-9.2,PITTAJAVIDRADHIH,pittajavidradhiḥ,पित्तजविद्रधिः,vidradhī due to pitta ,"the disorder is characterized by pakvōdumbarasaṅkāśaśōphaḥ [swelling resemble ripe udumbara/fig fruit], śyāvavarṇaśōphaḥ/asitaśōphaḥ [blackish colour of swelling], jvaraḥ [fever], dāhayutaḥ (dāhavān) [produces burning sensation], kṣiprōtthānaprapākaḥ [has a quick onset and suppuration], pītasrāvaḥ [yellowish discharge], tilasannibhasrāvaḥ [discharge resembling tila (sesame seeds)], māṣasannibhasrāvaḥ [discharge resembling māṣa (black gram)], kulatthōdakasannibhasrāvaḥ [discharge resembling kulatthōdakaḥ], tr̥ṣṇā [thirst], mōhaḥ [confusion/delirium], madaḥ [intoxication], raktaśōphaḥ [reddish swelling], tāmraśōphaḥ [coppery coloured swelling] ",
975,ED-9.3,KAPAJAVIDRADHIH,kaphajavidradhiḥ,कफजविद्रधिः,vidradhī due to kapha ,"the disorder is characterized by śarāvasadr̥śaḥ [like an earthen saucer], pāṇḍuḥ [pallor], śītaḥ/śītakaḥ [cold], stabdhaḥ [stiffness], alpavēdanaḥ [mild pain], cirōtthānaprapākaḥ [develops slowly and suppurates after a long time], sitāsrāvaḥ.śvētasrāvaḥ [whitish discharge], picchilasrāvaḥ [slimy discharge], bahalasrāvaḥ [profuse discharge], bahusrāvaḥ [excessive/copious discharge], kaṇḍū/kaṇḍūyutaḥ [itching], jr̥mbhā [yawning], utklēśaḥ [nausea/provocation of dōṣa], aruciḥ [tastelessness], gauravaḥ [heaviness] ",
976,ED-9.4,SANNIPATAJAVIDRADHIH,sānnipātajavidradhiḥ,सान्निपातजविद्रधिः,vidradhī due to three dōṣa ,"the disorder is characterized by nānāvarṇam [variegated colouration], nānārujā [vartious type of pain], nānāsrāvaḥ [associated with varied discharges], ghāṭālō [markedly raised, uneven and extensive], viṣamō [irregular nature], mahān [broad/extensive], viṣama-pākaḥ [suppurates irregularly], saṁkīrṇaḥ [mixed features] ",
977,ED-9.5,RAKTAJAVIDRADHIH,raktajavidradhiḥ,रक्तजविद्रधिः,vidradhī due to of rakta ,"the disorder is characterized by kr̥ṣṇasphōṭavr̥taḥ [covered by black blisters], śyāvavarṇam [blackish discolouration], tīvradāhaḥ [severe burning sensation], rujākaraḥ [painful], jvaraḥ [fever], pittavidradhiliṅgam [features of paittika abscess], pakvōdumbarasaṅkāśaśōphaḥ [swelling resemble ripe udumbara/fig fruit], śyāvavarṇaśōphaḥ/asitaśōphaḥ [blackish colour of swelling], jvaraḥ [fever], dāhayutaḥ (dāhavān) [produces burning sensation], kṣiprōtthānaprapākaḥ [has a quick onset and suppuration], pītasrāvaḥ [yellowish discharge], tilasannibhasrāvaḥ [discharge resembling tila (sesame seeds)], māṣasannibhasrāvaḥ [discharge resembling māṣa (black gram)], kulatthōdakasannibhasrāvaḥ [discharge resembling kulatthōdakaḥ], tr̥ṣṇā [thirst], mōhaḥ [confusion/delirium], madaḥ [intoxication], raktaśōphaḥ [reddish swelling], tāmraśōphaḥ [coppery coloured swelling] ",
978,ED-9.6,BAHYAVIDRADHIH,bāhyavidradhiḥ,बाह्यविद्रधिः,external vidradhī ,"the disorder is characterized by kaṇḍarābha [resembles tendon], mahārujā [severe pain] ",
979,ED-9.7,ANTARVIDRADHIH,antarvidradhiḥ,अन्तर्विद्रधिः,internal vidradhī ,"the disorder is characterized by bāhyavidradhilakṣaṇam [clinical features similar to those of external abscesses], kaṇḍarābha [resembles tendon], mahārujā [severe pain], valmīkavatsamunnaddham [resembling the shape of anthill], gulmarūpiṇam [resembling gūlma] ",
980,ED-9.7.1,GUDAJAVIDRADHIH,gudajavidradhiḥ,गुदजविद्रधिः,Anal-vidradhī ,the disorder is characterized by vātanirōdhaḥ [obstruction of flatus] ,
981,ED-9.7.2,BASTIJAVIDRADHIH,bastijavidradhiḥ,बस्तिजविद्रधिः,bladder-vidradhī ,"the disorder is characterized by alpamūtratā [oliguria], kr̥cchramūtratā [dysuria] ",
982,ED-9.7.3,NABIVIDRADHIH,nābhividradhiḥ,नाभिविद्रधिः,naval-vidradhī ,"the disorder is characterized by āṭōpaḥ [gurgling sound of the intestines/barborygmus], hikkā [hiccup] ",
983,ED-9.7.4,KUKSHIVIDRADHIH,kukṣividradhiḥ,कुक्षिविद्रधिः,abdominal-vidradhī ,"the disorder is characterized by āṭōpaḥ [gurgling sound of the intestines/barborygmus], rujā [pain] ",
984,ED-9.7.5,VANKSHANAJA-VIDRADHIH,vaṅkṣaṇaja-vidradhiḥ,वङ्क्षणज-विद्रधिः,inguinal-vidradhī ,"the disorder is characterized by grahaḥ [catchingpain/restricted movement], sādaḥ [exhaustion or tirednes of body] ",
985,ED-9.7.6,VRUKKAJAVIDRADHIH,vr̥kkajavidradhiḥ,वृक्कजविद्रधिः,renal-vidradhī ,"the disorder is characterized by grahaḥ [catchingpain/restricted movement], rujā [pain], saṅkōcaḥ [contraction] ",
986,ED-9.7.7,PLIHAJAVIDRADHIH,plīhajavidradhiḥ,प्लीहजविद्रधिः,spleenic-vidradhī ,the disorder is characterized by ucchvāsāvarōdhanam [difficulty in breathing] ,
987,ED-9.7.8,HRUD-VIDRADHIH/HRUDAYA-VIDRADHIH,hr̥d-vidradhiḥ/hr̥daya-vidradhiḥ,हृद्-विद्रधिः/हृदय-विद्रधिः,precordial-abscess ,"the disorder is characterized by kāsaḥ [cough], tīvra-sarvāṅgapragrahaḥ [severe rigidity all over the body] ",
988,ED-9.7.9,YAKRUJJAVIDRADHIH,yakr̥jjavidradhiḥ,यकृज्जविद्रधिः,hepatic-vidradhī ,"the disorder is characterized by śvāsaḥ [breathlessness/difficult breathing], hikkā [hiccup] ",
989,ED-9.7.10,KLOMAJAVIDRADHIH,klōmajavidradhiḥ,क्लोमजविद्रधिः,pancreatic-vidradhī /supra renal vidradhī , ,
990,ED-9.8,KSHATAJA VIDRADHIH/AGANTUJA-VIDRADHIH,kṣataja vidradhiḥ/āgantuja-vidradhiḥ,क्षतज विद्रधिः/आगन्तुज-विद्रधिः,vidradhī due to trauma/exogenous-vidradhī ,"the disorder is characterized by jvaraḥ [fever], tr̥ṣṇā [thirst], dāhaḥ [burning sensation], pittavidradhilakṣaṇam [has the clinical features of a paittika abscess], pakvōdumbarasaṅkāśaśōphaḥ [swelling resemble ripe udumbara/fig fruit], śyāvavarṇaśōphaḥ/asitaśōphaḥ [blackish colour of swelling], jvaraḥ [fever], dāhayutaḥ (dāhavān) [produces burning sensation], kṣiprōtthānaprapākaḥ [has a quick onset and suppuration], pītasrāvaḥ [yellowish discharge], tilasannibhasrāvaḥ [discharge resembling tila (sesame seeds)], māṣasannibhasrāvaḥ [discharge resembling māṣa (black gram)], kulatthōdakasannibhasrāvaḥ [discharge resembling kulatthōdakaḥ], tr̥ṣṇā [thirst], mōhaḥ [confusion/delirium], madaḥ [intoxication], raktaśōphaḥ [reddish swelling], tāmraśōphaḥ [coppery coloured swelling] ",
991,ED-9.9,URDHVAJAVIDRADHIH,ūrdhvajavidradhiḥ,ऊर्ध्वजविद्रधिः,upper body-vidradhī , ,
992,ED-9.10,ADHOGA-VIDRADHIH,adhōga-vidradhiḥ,अधोग-विद्रधिः,lower-body vidradhī , ,
993,ED-9.11,PAKVA-VIDRADHIH,pakva-vidradhiḥ,पक्व-विद्रधिः,pakva state of vidradhī , ,
995,ED-9.12,ASADHYA-VIDRADHIH,asādhya-vidradhiḥ,असाध्य-विद्रधिः,intractable vidradhī , ,
996,ED-9.13,VIDRADHI-ARISHTAH,vidradhi-ariṣṭaḥ,विद्रधि-अरिष्टः,fatal signs of vidradhī , ,
997,ED-10,VISARPAH,visarpaḥ,विसर्पः,acute spreading eruptions ,"the disorder is characterized by śōphasya sarvatō visaraṇam [swelling spreads all over the body], śōphasya āśu visaraṇam [swelling spreads suddenly], vistr̥taśōpham [swelling covers wide area], anunnataśōpham [not much raised swelling] ",Note: Also Classifed under śōṇitajanyarōgaḥ[ED-2]
998,ED-10.1,BAHYASRAYA-VISARPAH,bāhyāśraya-visarpaḥ,बाह्याश्रय-विसर्पः,external-visarpa , ,
999,ED-10.2,ANTARASRAYA-VISARPAH,antarāśraya-visarpaḥ,अन्तराश्रय-विसर्पः,Internal-visarpa , ,
1000,ED-10.3,UBAYASRAYA-VISARPAH,ubhayāśraya-visarpaḥ,उभयाश्रय-विसर्पः,intro-external visarpa , ,
1001,ED-10.4,VATAJAVISARPAH,vātajavisarpaḥ,वातजविसर्पः,visarpa due to vāta ,"the disorder is characterized by bhramaḥ [giddiness or dizziness], davathuḥ [burning sensation of eye], pipāsā [thirst], nistōdaḥ [pricking type of pain], śūlaḥ [severe pain], aṅgamardaḥ [generalised bodyache], udvēṣṭanam [cramps], kampaḥ [tremors], jvaraḥ [fever], tamakaḥ [black outs], kāsaḥ [cough], asthibhēdaḥ [breaking/splitting type of pain in the bones], sandhibhēdaḥ [breaking/splitting pain in joints], asthiviślēṣaṇam [feel of loosening in bones], sandhiviślēṣaṇam [loosening /dislocation of joints], vēpanam [shivering/tremors], arōcakam [tastelessness], avipākaḥ [indigestion], cakṣuṣōḥ ākulatvam [querulous eyes], asrāgamanam [bleeding], aṅgēṣu pipīlikā iva sañcāraḥ [tingling sensation], śyāvābhāsaśōthaḥ [geyish coloured oedema], aruṇābhāsaśōthaḥ [slightly reddish coloured oedema], atimātraṁ bhēdaḥ [excessive tearing sensation], atimātraṁ āyāmaḥ [excessive stretching], atimātraṁ saṅkōcaḥ [excessive contracture], atimātraṁ harṣaḥ [horripilation], atimātraṁ sphuraṇam [excessive twitching], vātajvara-samavyathā [constitutional features as in vātaja fever], pakvabhinnē vātavraṇōtpattiḥ [wound/ulcer formation after rupture of rippened (absess)] ",
1002,ED-10.5,PITTAJAVISARPAH,pittajavisarpaḥ,पित्तजविसर्पः,visarpa due to pitta ,"the disorder is characterized by jvaraḥ [fever], tr̥ṣṇā [thirst], mūrchā [syncope/attacks of swooning], mōhaḥ [confusion/delirium], chardiḥ [vomitting/emesis], arōcakaḥ [tastelessness], aṅgabhēdaḥ [breaking pain in body], atimātraṁ svēdaḥ [excessive perspiration], antardāhaḥ [burning sensation inside the body], pralāpaḥ [excess talking/irrelevant speech/incoherent speech], śirōruk [headache], cakṣuṣōrākulatvam [querulous eyes], asvapnam [insomnia/sleeplessness], aratiḥ [distress/dicontent/restlessness], bhramaḥ [giddiness or dizziness], śītavāritarṣaḥ atimātram [excessive desire for cold water], śītavātatarṣaḥ atimātram [excessive desire for cold air], haritanētratvam [greenish tint in eyes/excessive icterus], haritamūtratvam [green coloured urine], haritavarcastvam [greenish tint in stool], haritarūpadarśanam [greenish vision (of patient)], hāridranētratvam [yellow coloured eyes], hāridramūtratvam [yellowish discoluration of urine], hāridravarcastvam [excess yellow tint to stool], hāridrarūpadarśanam [yellowish vision (of patient)], visarpayuktāvakāśasya tāmratvam [pinkish colouration of visarpa affected area], visarpayuktāvakāśasya haritatvam [greenish colouration of visarpa affected area], visarpayuktāvakāśasya hāridratvam [yellowish colouration of visarpa affected area], visarpayuktāvakāśasya nīlatvam [bluish colouration of visarpa affected area], visarpayuktāvakāśasya kr̥ṣṇatvam [blackish colouration of visarpa affected area], visarpayuktāvakāśasya raktatvam [redness of visarpa affected area], utsēdaḥ [local swelling], atimātraṁ dāhaḥ [severe burning sensation], atimātrabhēdanam [excessive breaking pain], tāmrasrāvayuktasphōṭaḥ [eruption with pinkish discharge], haritasrāvayuktasphōṭaḥ [eruption with greenish discharge], hāridrasrāvayuktasphōṭaḥ [eruption with yellowish discharge], nīlasrāvayuktasphōṭaḥ [eruption with blueish discharge], kr̥ṣṇasrāvayuktasphōṭaḥ [eruption with blackish discharge], raktasrāvayuktasphōṭaḥ [eruptions with bloody discharge/with bleeding], drutagatiḥ [speedy/quick/swift gait], atilōhitaḥ(pīḍakā) [furuncle with deep red colour], pittajvaraliṅgaḥ [constitutional features of pittaja fever], pakvabhinnē pittavraṇōtpattiḥ [pitta dominant wound formation in rippened and ruptured (abscess)] ",
1003,ED-10.6,KAPAJAVISARPAH,kaphajavisarpaḥ,कफजविसर्पः,visarpa due to kapha ,"the disorder is characterized by śītakaḥ [chills], śītajvaraḥ [fever with chills], gauravam [heaviness], nidrā [sleep], tandrā [drowsiness/lassitude], arōcakam [tastelessness], madhurāsyatvam [sweet taste in mouth], āsyōpalēpaḥ [sticky feel in mouth], niṣṭhīvikā [sputum/expectoration], chardiḥ [vomiting], ālasyam [lethargy], staimityam [a sensation of being covered with wet clothes], agnināśaḥ [loss of agni (digestive power)], daurbalyam [weakness], śvayathumān avakāśaḥ [affected area of body with swelling over it], pāṇḍu-avakāśaḥ [affected area of body with pallor over it], nātiraktāvakāśaḥ [affected area of body without much redness on it], snēhānvitāvakāśaḥ [area of body with unctuousness], suptyanvitāvakāśaḥ [affected area of body with numbness], stambhānvitāvakāśaḥ [affected area of body with stiffness], gauravānvitāvakāśaḥ [area of body with heaviness], alpavēdanāvakāśaḥ [affected area of body with mild pain], kr̥cchrapākīsphōṭaḥ [eruption which is difficult to rippen], cirakārīsphōṭaḥ/aśīghrapākaḥ [eruption which is late to rippen], bahalatvagupalēpayuktasphōṭaḥ [eruption covered with thick skin], śvētasphōṭaḥ [whitish colored eruption], pāṇḍusphōṭaḥ [blisters with pallor], prabhinnē śvētamāsrāvaḥ [whitish discharge after burst (abscess/eruption)], prabhinnē picchilamāsrāvaḥ [sticky discharge after burst (abscess/eruption)], prabhinnē tantumadāśrāvaḥ [fibrous discharge after burst (abscess/eruption)], prabhinnē ghanamāśrāvaḥ [thick discharge after burst (abscess/eruption)], prabhinnē anubaddhamāśrāvaḥ [clotted discharge after burst (abscess/eruption)], prabhinnē snigdhamāśrāvaḥ [unctuousdischarge after burst (abscess/eruption)], ūrdhvakāyē gurusthirajālāvatataḥ [covered with thick and heavy netted appearance in upper body ..(ref needed for proper context)], snigdha-bahulatvak upalēpaḥ [covering of thick and unctuous skin], anuṣaṁgī [chronic (associated over a long period)], śvētanakham [white nails], śvētanayanam [white eyes], śvētavadanam [whitish face], śvētatvak [whitish skin], śvētamūtram [whitish urine], śvētavarcaḥ [whitish stool], mandaḥsaraṇam [slow (forward) movement], alparuk [mild pain], ugrakaṇḍū [excessive itching], kaṇḍūyutaḥ [associated with itching], snigdhaḥ [smooth/unctuous /oily], kaphajvara-samānaruk [constitutional features (or pain )as in a case of kaphaja fever], pakvabhinnē kaphavraṇōtpattiḥ [kapha dominant wound formation in rippened and ruptured (abscess)] ",
1004,ED-10.7,AGNIVISARPAH/VATAPITTAJAVISARPAH/AGNIDAHAJA-VISARPAH,agnivisarpaḥ/vātapittajavisarpaḥ/agnidāhaja-visarpaḥ,अग्निविसर्पः/वातपित्तजविसर्पः/अग्निदाहज-विसर्पः,visarpa due to vāta and pitta ,"the disorder is characterized by chardiḥ [vomiting], atisāraḥ [diarrhoea], mūrcchā [syncope/attacks of swooning], dāhaḥ [burning sensation], mōhaḥ [confusion/delirium], jvaraḥ [fever], tamakaḥ [respiratory distress], arōcakaḥ [tastelessness], asthibhēdaḥ [breaking/splitting type of pain in the bones], sandhibhēdaḥ [breaking/splitting pain in joints], aṁgārairivākīryamānam [feels as if burnt with heated charcoal], tr̥ṭ [thirst], śāntāṁgāraprakāśam atiraktam [area becomes as cool down coal as black or red], agnidagdha iva sphōṭaḥ [blisters as after a thermal burn], śīghragati-yutaḥ [with quick speed], marmānusārī [associated with or progressing towards vital points (marma)] ",
1005,ED-10.8,MARMAGATA-AGNIVISARPAM,marmagata-agnivisarpam,मर्मगत-अग्निविसर्पम्,agnivisarpa affecting marma ,"the disorder is characterized by bhinatti aṅgāni [breaks down the organs/tissues], saṁjñā pramōhayati [takes away the conciosness or alertness], hikkāśvāsau janayati [generates hiccups and dyspnoea], nidrānāśaḥ [insomnia], pramūḍhasaṁjñā (nidrānāśē sati) [disoriented with insomnia], vyathitacētaḥ (nidrānāśē sati) [disturbed mind with insomnia], na sukhaṁ upalabhatē (nidrānāśē sati) [unhappy and having insomnia], aratiparītaḥ (nidrānāśē sati) [severe distress/dicontent/restlessness], sthānādāsanaṁ āsanāt śayyāṁ krāntumicchati [changes positions due to restlessness], kliṣṭabhūyiṣṭhaḥ āśu nidrāṁ bhajati [falls asleep while caught in complex condition], dīptāṁgārāvakīrṇavat [like burning coal], śāntāṁgārāsitaḥ [white like burnt coal], nīlaḥ [bluish], raktaḥ [red/blood], āśu cīyatē [accumulates/grows quickly] ",
1006,ED-10.9,GRANTHIVISARPAH/VATAKAPAJAVISARPAH,granthivisarpaḥ/vātakaphajavisarpaḥ,ग्रन्थिविसर्पः/वातकफजविसर्पः,visarpa due to vāta and kapha ,"the disorder is characterized by kaphāśayē kr̥cchrapākī granthimālā [a series of slow rippening nodules in kapha dominant region], sirāsnāyumāṁsatvagāśritagranthīnāṁ mālā [a series of nodules associated in region with vessels, muscles,skin], tīvrarujā [severe pain], sthūla/ aṇu granthi [large/small neolasm/growth], dīrgha/ vr̥tta granthi [elongated/round growth/neoplasm], raktavarṇagranthi [red colored neoplasm/growth], jvaraḥ [fever], atisāraḥ [diarrhoea], kāsaḥ [cough], hikkā [hiccup], śvāsaḥ [breathlessness/difficult breathing], śōṣaḥ [dryness/wasting/emaciation], mōhaḥ [confusion/delirium], vaivarṇyam [discolouration], arōcakaḥ [tastelessness], avipākaḥ [indigestion], prasēkaḥ [excessive salivation], chardiḥ [vomiting], mūrcchā [syncope/attacks of swooning], aṁgabhaṁgaḥ [breaking type of pain in body], nidrā [sleep], aratiḥ [distress/dicontent/restlessness], agnisadanam [diminution of agni (digestive power)], kharagranthiḥ [rough nodules], bhramaḥ [giddiness or dizziness] ",
1007,ED-10.10,KARDAMAVISARPAH/PITTAKAPAJAVISARPAH,kardamavisarpaḥ/pittakaphajavisarpaḥ,कर्दमविसर्पः/पित्तकफजविसर्पः,visarpa due to pitta and kapha ,"the disorder is characterized by śītajvaraḥ [fever with chills], śirōgurutvam [heavyness of head], dāhaḥ [burning sensation], staimityam [a sensation of being covered with wet clothes], aṅgāvasādaḥ [fatigue], nidrā [sleep], tandrā [drowsiness/lassitude], mōhaḥ [confusion/delirium], annadvēṣaḥ [aversion to food], pralāpaḥ [excess talking/irrelevant speech/incoherent speech], agnināśaḥ/agnihāniḥ [loss of agni (digestive power)], daurbalyam [weakness], asthi-bhēdaḥ [breaking/splitting type of pain in the bones], mūrcchā [syncope/attacks of swooning], pipāsā [thirst], srōtasāṁ pralēpaḥ [feeling of wrapped of srōtasa], jāḍyam indriyāṇām [dullness/inactiveness/sluggishness of sense organs], prāyōpavēśanam [defecation of stools with āma], aṁgavikṣēpaṇam [convulsive movements of body], aṁgamardaḥ [generalized bodyache], aratiḥ [distress/dicontent/restlessness], autsukyam [anxious curiosity], prāyaḥ āmāśayē visarpati alasakaḥ [predominantly in āmāśaya region], ēkadēśagrāhī [affecting specific organ/region/body part], raktapiḍakāvakīrṇāvakāśaḥ/lōhita [area comprised of red nodules], pītapiḍakāvakīrṇāvakāśaḥ/atipītaḥ [area comprised of yellowish nodules], pāṇḍupiḍakāvakīrṇāvakāśaḥ/pāṇḍuraḥ [area comprised of whitiish nodules], mēcakābhapiḍakāvakīrṇāvakāśaḥ [area comprised of mēcaka (as like eyes of peacocks tail or collyrium) nodules], kālapiḍakāvakīrṇāvakāśaḥ [area comprised of blackish nodules], malināvakāśaḥ [misty /unclean area], snigdhāvakāśaḥ [unctuous area], bahūṣmāvakāśaḥ [area with excessive heat], guru [heaviness], stimitavēdanā [heavy and wet feeling with pain], śvayathumān [oedematous], gambhīrapākaḥ [deep seated suppuration], nirāsrāvaḥ [without any discharge], śīghraklēdaḥ [getting moist very quickly], svinnamāṁsam [soft tissue and muscles with sweat], klinnamāṁsam [soft tissue and muscles with moisture], svinnatvak [skin with sweat], klinnatvak [moist skin], pūtimāṁsa [putrifaction of māṁsa], pūti tvak [putrid smell], kramēṇālparuka [gradual mild pain], parāmr̥ṣṭō avadīryatē kardama iva [breaks down on touch and feel like muddy, slushy], avapīḍitō antaraṁ prayacchati [falls down after suppuration], upaklinnapūtimāṁsatyāgī (avapīḍitē) [(on pressure) foul smelling n moist soft tissue], sirāsnāyusaṁdarśī [blood vessels and soft tissue/muscles are visible], kūṇapagandhiḥ [cadaveric smell], saṁjāhāniḥ [loss of conciousness], smr̥tihāniḥ [dementia], stambhaḥ [rigidity/stiffness], arōcakaḥ [tastelessness], bhramaḥ [giddiness or dizziness], indriyagauravam [dulling of senses], āmōpavēśanaḥ [defecation of stools with āma], gambhīrapākaḥ [deep seated suppuration], spr̥ṣṭaḥ klinnōऽvadīryatē| [friable to touch as it is sodden], paṅkavacchīrṇamāṁsaḥ [appears like mud due to muscles being decayed], spaṣṭasnāyu-sirāgaṇaḥ [exposed ligamentstendons and the vascular bundles], śavagandhaḥ [cadaveric smell] ",
1008,ED-10.11,SANNIPATAJAVISARPAH,sānnipātajavisarpaḥ,सान्निपातजविसर्पः,visarpa due to three dōṣa , ,
1009,ED-10.12,KSHATAJAVISARPAH,kṣatajavisarpaḥ,क्षतजविसर्पः,visarpa due to trauma ,"the disorder is characterized by śyāvaśōpham [grey colored oedema], lōhitaśōpham [red colored oedema], jvaraḥ [fever], dāhaḥ [burning sensation], pākam [inflammation/suppuration], kulatthasadr̥śaḥ sphōṭaḥ [kulattha seed like vescicles], asitasphōṭaḥ [blackish eruptions], rujā [pain] ",
1010,ED-10.13,ASADHYA-VISARPAH,asādhya-visarpaḥ,असाध्य-विसर्पः,incurable visarpa ,"the disorder is characterized by marmāgatam [that which affects marma], śīrṇamāṁsam [withering of māṁsa], śīrṇasnāyu [withering of sinews], śīrṇasirā [withering of veins], praklinnaḥ [weeping], śavagandhaḥ [cadaveric smell] ",
1011,ED-10.14,VISARPA-UPADRAVAH,visarpa-upadravaḥ,विसर्प-उपद्रवः,complications of visarpa ,"the disorder is characterized by jvaraḥ [fever], atisāraḥ [diarrhoea], vamathu [vomiting], tvak daraṇaṁ [breaking and withering of skin], māṁsa daraṇaṁ [breaking and withering of muscle-tissue], klamaḥ [exhaustion without exertion], arōcakaḥ [tastelessness], avipākaḥ [indigestion] ",
1012,ED-10.15,VISARPA-ARISHTAH,visarpa-ariṣṭaḥ,विसर्प-अरिष्टः,fatal signs of visarpa , ,
1013,ED-11,PIRANGAH,phiraṅgaḥ,फिरङ्गः,syphilis , ,
1014,ED-11.1,BAHYAPIRANGAH,bāhyaphiraṅgaḥ,बाह्यफिरङ्गः,external-phiraṅga-rōga ,"the disorder is characterized by visphōṭasadr̥śaḥ [lesions or eruotions appear on the penis], alparuk [mild pain], sphuṭitō vraṇavat vēdyaḥ [pain as wound] ",
1015,ED-11.2,ABYANTARAPIRANGAH,abhyantaraphiraṅgaḥ,अभ्यन्तरफिरङ्गः,Internal-phiraṅga-rōga ,"the disorder is characterized by sandhiṣu āmavāta iva vyathām [associated with joint pains like rheumatism], śōthaḥ [oedema], kaṣṭasādhyaḥ [difficult to cure] ",
1016,ED-11.3,BAHIRANTARA-PIRANGAH,bahirāntara-phiraṅgaḥ,बहिरान्तर-फिरङ्गः,intro-external phiraṅga-rōga , ,
1017,ED-12,PLIHAROGAH,plīharōgaḥ,प्लीहरोगः,spleenic disorders , ,Note: Also Classifed under udakavahasrōtōvikāraḥ[EK]
1018,ED-12.1,VATAJAPLIHAROGAH,vātajaplīharōgaḥ,वातजप्लीहरोगः,plīharōga due to vāta ,"the disorder is characterized by nityaṁ ānadhdakōṣṭhaḥ [continuous flatulence], nityaṁ udāvartapīḍitaḥ [reversed peristalsis], vēdanā [pain] ",Note: Also Classifed under udakavahasrōtōvikāraḥ[EK]
